ID,Feature,Phase,Domaine,Description,Reach,Impact,Confidence,Effort (sem),Score RICE,Dépendances,Critères acceptation,Priorité
F1,Cockpit consolidé,MVP,Fondation,"Page d'accueil avec intention, Big Rocks, tâches, RDV, props IA.",10,3,0.9,2,13.5,"Lecture <10s, actions <30s, 5 widgets.",P0,
F2,Vue par société,MVP,Fondation,"Page dédiée par entité (Adabu, Start, AMANI, ETIC) avec intention, décisions, chantiers, équipe.",10,3,0.9,2,13.5,"Navigation fluide, filtres opérationnels.",P0,
F3,Revue hebdo manuelle,MVP,Rituel,"Écran de revue hebdo avec Big Rocks, bilan S-1, cap S+1.",10,3,0.85,2,12.8,Template rempli en <15min.,P0,
F4,Agenda consolidé,MVP,Fondation,"Grille 7j×heures, events multi-sources (Outlook + perso), portlets Twisty.",10,3,0.9,2,13.5,"Affichage 7 jours, catégorisation visuelle.",P0,
F5,Tâches unifiées,MVP,Fondation,"Liste multi-sources, filtres, bouton déléguer.",10,3,0.9,2,13.5,"Liste filtrable, tri multi-critères.",P0,
F6,Intégration Outlook (Mail + Calendar),MVP,Intégration,"OAuth Entra ID, delta sync 15min, Mail.Read + Calendars.Read.",10,3,0.95,3,9.5,"Sync fiable, renouvellement tokens auto.",P0,
F7,Copilote réactif (chat),MVP,IA,"Chat latéral qui répond, rédige brouillons, résume.",10,3,0.85,3,8.5,"Réponse <3s, traçabilité sources.",P0,
F8,Délégation assistée,MVP,Délégation,"Bouton déléguer, brief IA pré-rédigé, mail envoyé, suivi créé.",10,3,0.9,3,9,"Brief généré en <5s, suivi automatique.",P0,
F9,Traçabilité minimale,MVP,Transparence,"Chaque prop a source, bouton pourquoi, historique.",10,2.5,0.9,1,22.5,100% des props ont source affichée.,P0,
F10,Copilote proactif (Inngest),V1,IA,Jobs scheduled + webhooks. Sub-agents mail/cal/task/deleg/prep/review.,10,3,0.7,5,4.2,"15 props/j stable, 0 plantage/sem.",P0,
F11,Mémoire long-terme (pgvector),V1,IA,"3 strates (identity/preference/episode), résumés roulants hebdo.",10,2.5,0.7,4,4.4,"Strates séparées, récupération <200ms.",P0,
F12,Rituels intégrés,V1,Rituel,"Matin (check-in + top 3), soir (shutdown), dimanche (revue auto).",10,3,0.85,2,12.8,Adoption ≥80% jours ouvrés.,P0,
F13,Délégation pro (matrice confiance),V1,Délégation,"Matrice silencieuse par équipier, propriétaire naturel, suivi J+2/J+5.",10,3,0.8,3,8,≥5 tâches déléguées/sem.,P0,
F14,Traçabilité totale (Langfuse),V1,Transparence,"Logs agent, UI pourquoi, dashboard transparence visible CEO.",10,2,0.85,2,8.5,100% actions auditables.,P1,
F15,Intégration SharePoint (RAG),V1,Intégration,"Indexation docs, embeddings Voyage-3, permissions trimmées.",10,2,0.8,3,5.3,"Recherche <1s, 0 fuite perm.",P1,
F16,Détection burnout (signaux faibles),V1,Coaching,"Croisement mails >22h, weekends actifs, humeur, taux accept.",10,3,0.55,4,4.1,"Alertes <2/mois, 0 faux positif.",P1,
F17,Migration SolidJS,V1,Tech,"Islands architecture, cockpit puis pages sociétés.",10,2,0.75,6,2.5,"Parité fonctionnelle, perf +20%.",P1,
